names,total_price,price_per_meter,area,rooms_number,build_year,building_type,equipment,heating_system,avg_heating_price,crimes
"Kaunas, Šilainiai, Baltų pr., 3 rooms flat for rent",690 €,"(11,5 €/m²)",60 m²,3,2008,Brick,Fully equipped,Central,"27,00 €/month~ 0,45 €/m²","['2024-10', '0.13', '2024-11', '0.43', '2024-12', '0.63', '2025-01', '0.64', '2025-02', '0.89', '2025-03', '0.29', '2025-04', '0.15', 'august', '4', 'september', '1', 'october', '1', 'november', '0', 'december', '5', 'january', '2', 'february', '2', 'march', '5', 'april', '1', 'may', '0', 'june', '2', 'july', '4', 'august', '2', 'september', '7', 'october', '3', 'november', '7', 'december', '2', 'january', '1', 'february', '9', 'march', '1', 'april', '5', 'may', '4', 'june', '3', 'july', '1']"
"Kaunas, Šilainiai, Baltijos g., Room rent 2 rooms in a flat",450 €,"(8,3 €/m²)",54 m²,2,1988,Block house,Fully equipped,Central,"56,70 €/month~ 1,05 €/m²","['2024-10', '0.45', '2024-11', '1.1', '2024-12', '1.44', '2025-01', '1.49', '2025-02', '1.47', '2025-03', '1.02', '2025-04', '0.41', 'august', '11', 'september', '16', 'october', '11', 'november', '8', 'december', '4', 'january', '13', 'february', '6', 'march', '5', 'april', '7', 'may', '12', 'june', '8', 'july', '13', 'august', '6', 'september', '14', 'october', '13', 'november', '9', 'december', '9', 'january', '11', 'february', '10', 'march', '2', 'april', '9', 'may', '13', 'june', '7', 'july', '3']"
"Kaunas, Romainiai, Girios g., 2 rooms flat for rent",590 €,"(11,1 €/m²)",53 m²,2,2014,Brick,Fully equipped,Gas,,"['august', '0', 'september', '0', 'october', '2', 'november', '0', 'december', '1', 'january', '0', 'february', '1', 'march', '0', 'april', '1', 'may', '0', 'june', '1', 'july', '0', 'august', '0', 'september', '0', 'october', '2', 'november', '0', 'december', '0', 'january', '1', 'february', '0', 'march', '0', 'april', '0', 'may', '0', 'june', '2', 'july', '1']"
"Kaunas, Aleksotas, Europos pr., 1 room flat for rent",250 €,"(13,9 €/m²)",18 m²,1,2024,Brick,Fully equipped,Aerothermal,,"['august', '4', 'september', '0', 'october', '1', 'november', '0', 'december', '0', 'january', '0', 'february', '0', 'march', '0', 'april', '1', 'may', '2', 'june', '0', 'july', '0', 'august', '8', 'september', '0', 'october', '1', 'november', '3', 'december', '2', 'january', '0', 'february', '1', 'march', '0', 'april', '0', 'may', '3', 'june', '2', 'july', '1']"
"Kaunas, Vilijampolė, Varnių g., 2 rooms flat for rent",525 €,"(12,5 €/m²)",42 m²,2,1964,Brick,Fully equipped,Central,"47,88 €/month~ 1,14 €/m²","['2024-10', '0.46', '2024-11', '1.16', '2024-12', '1.34', '2025-01', '1.39', '2025-02', '1.94', '2025-03', '1.22', '2025-04', '0.45', 'august', '17', 'september', '11', 'october', '8', 'november', '7', 'december', '9', 'january', '18', 'february', '9', 'march', '21', 'april', '11', 'may', '17', 'june', '25', 'july', '26', 'august', '9', 'september', '11', 'october', '12', 'november', '16', 'december', '13', 'january', '10', 'february', '9', 'march', '3', 'april', '10', 'may', '10', 'june', '9', 'july', '15']"
"Kaunas, Aleksotas, Europos pr., 2 rooms flat for rent",450 €,"(16,1 €/m²)",28 m²,2,2024,Brick,Fully equipped,Aerothermal,,"['august', '4', 'september', '0', 'october', '1', 'november', '0', 'december', '0', 'january', '0', 'february', '0', 'march', '0', 'april', '1', 'may', '2', 'june', '0', 'july', '0', 'august', '8', 'september', '0', 'october', '1', 'november', '3', 'december', '2', 'january', '0', 'february', '1', 'march', '0', 'april', '0', 'may', '3', 'june', '2', 'july', '1']"
"Kaunas, Žaliakalnis, Žuvinto g., 2 rooms flat for rent",600 €,"(10,9 €/m²)",55 m²,2,2008,Brick,Fully equipped,Central,"33,00 €/month~ 0,60 €/m²","['2024-10', '0.16', '2024-11', '0.54', '2024-12', '1.01', '2025-01', '0.95', '2025-02', '1.05', '2025-03', '0.38', '2025-04', '0.14', 'august', '2', 'september', '2', 'october', '7', 'november', '2', 'december', '2', 'january', '2', 'february', '0', 'march', '3', 'april', '6', 'may', '1', 'june', '5', 'july', '5', 'august', '0', 'september', '9', 'october', '2', 'november', '6', 'december', '6', 'january', '0', 'february', '2', 'march', '1', 'april', '1', 'may', '0', 'june', '1', 'july', '1']"
"Kaunas, Žaliakalnis, J. Žemgulio g., 1 room flat for rent",450 €,"(13,6 €/m²)",33 m²,1,1986,Brick,Fully equipped,Central,"9,24 €/month~ 0,28 €/m²","['2024-10', '0.11', '2024-11', '0.29', '2024-12', '0.42', '2025-01', '0.4', '2025-02', '0.42', '2025-03', '0.23', '2025-04', '0.09', 'august', '13', 'september', '20', 'october', '26', 'november', '20', 'december', '3', 'january', '17', 'february', '16', 'march', '21', 'april', '10', 'may', '11', 'june', '12', 'july', '18', 'august', '21', 'september', '20', 'october', '16', 'november', '13', 'december', '14', 'january', '28', 'february', '16', 'march', '14', 'april', '21', 'may', '19', 'june', '12', 'july', '15']"
"Kaunas, Senamiestis, D. Poškos g., Room rent",300 €,"(13,0 €/m²)",23 m²,1,2002,Brick,Fully equipped,Central,"18,86 €/month~ 0,82 €/m²","['2024-10', '0.22', '2024-11', '0.82', '2024-12', '1.09', '2025-01', '1.18', '2025-02', '1.34', '2025-03', '0.73', '2025-04', '0.34', 'august', '3', 'september', '16', 'october', '10', 'november', '9', 'december', '17', 'january', '9', 'february', '14', 'march', '21', 'april', '25', 'may', '46', 'june', '34', 'july', '15', 'august', '16', 'september', '29', 'october', '25', 'november', '26', 'december', '4', 'january', '17', 'february', '9', 'march', '9', 'april', '23', 'may', '18', 'june', '9', 'july', '8']"
"Kaunas, Dainava, Kovo 11-osios g., 2 rooms flat for rent",395 €,"(9,0 €/m²)",44 m²,2,1970,Block house,Fully equipped,Central,"40,48 €/month~ 0,92 €/m²","['2024-10', '0.39', '2024-11', '0.93', '2024-12', '1.15', '2025-01', '1.24', '2025-02', '1.25', '2025-03', '1.08', '2025-04', '0.39', 'august', '23', 'september', '21', 'october', '23', 'november', '15', 'december', '14', 'january', '11', 'february', '16', 'march', '8', 'april', '13', 'may', '7', 'june', '11', 'july', '9', 'august', '32', 'september', '21', 'october', '19', 'november', '12', 'december', '12', 'january', '7', 'february', '20', 'march', '10', 'april', '13', 'may', '24', 'june', '19', 'july', '5']"
"Kaunas, Aleksotas, Veiverių g., 2 rooms flat for rent",500 €,"(12,2 €/m²)",41 m²,2,1952,Brick,Fully equipped,Central,"56,17 €/month~ 1,37 €/m²","['2024-10', '0.65', '2024-11', '1.5', '2024-12', '1.79', '2025-01', '1.84', '2025-02', '2.01', '2025-03', '1.28', '2025-04', '0.51', 'august', '3', 'september', '5', 'october', '3', 'november', '8', 'december', '10', 'january', '1', 'february', '4', 'march', '2', 'april', '4', 'may', '2', 'june', '5', 'july', '3', 'august', '3', 'september', '2', 'october', '5', 'november', '7', 'december', '3', 'january', '0', 'february', '3', 'march', '5', 'april', '1', 'may', '3', 'june', '3', 'july', '0']"
"Kaunas, Šilainiai, Baltijos g., 3 rooms flat for rent",500 €,"(7,6 €/m²)",66 m²,3,1991,Block house,Fully equipped,Central,"79,20 €/month~ 1,20 €/m²","['2024-10', '0.66', '2024-11', '1.18', '2024-12', '1.52', '2025-01', '1.62', '2025-02', '1.83', '2025-03', '1.14', '2025-04', '0.46', 'august', '4', 'september', '10', 'october', '15', 'november', '8', 'december', '17', 'january', '3', 'february', '9', 'march', '6', 'april', '8', 'may', '8', 'june', '10', 'july', '15', 'august', '7', 'september', '11', 'october', '13', 'november', '11', 'december', '8', 'january', '3', 'february', '13', 'march', '11', 'april', '8', 'may', '13', 'june', '8', 'july', '5']"
