names,total_price,price_per_meter,area,rooms_number,build_year,building_type,equipment,heating_system,avg_heating_price,crimes
"Kaunas, Dainava, Taikos pr., 2 rooms flat for rent",450 €,"(8,6 €/m²)","52,18 m²",2,1987,Brick,Fully equipped,Central,,"['august', '8', 'september', '2', 'october', '1', 'november', '4', 'december', '8', 'january', '2', 'february', '6', 'march', '5', 'april', '4', 'may', '2', 'june', '0', 'july', '6', 'august', '5', 'september', '2', 'october', '13', 'november', '9', 'december', '6', 'january', '5', 'february', '3', 'march', '3', 'april', '3', 'may', '2', 'june', '5', 'july', '7']"
"Kaunas, Aleksotas, Veiverių g., 1 room flat for rent",340 €,"(8,5 €/m²)",40 m²,1,1990,Brick,Fully equipped,"Electric, solid fuel",,"['august', '2', 'september', '0', 'october', '2', 'november', '0', 'december', '3', 'january', '1', 'february', '0', 'march', '1', 'april', '1', 'may', '1', 'june', '3', 'july', '6', 'august', '1', 'september', '3', 'october', '0', 'november', '2', 'december', '2', 'january', '5', 'february', '3', 'march', '2', 'april', '1', 'may', '6', 'june', '2', 'july', '0']"
"Kaunas, Senamiestis, Nemuno g., 2 rooms flat for rent",590 €,"(10,0 €/m²)",59 m²,2,1940,Brick,Fully equipped,"Electric, gas",,"['august', '2', 'september', '6', 'october', '5', 'november', '6', 'december', '13', 'january', '8', 'february', '18', 'march', '21', 'april', '10', 'may', '17', 'june', '7', 'july', '9', 'august', '8', 'september', '13', 'october', '19', 'november', '20', 'december', '3', 'january', '11', 'february', '10', 'march', '8', 'april', '20', 'may', '20', 'june', '5', 'july', '10']"
"Kaunas, Centras, Laisvės al., 2 rooms flat for rent",550 €,"(12,2 €/m²)",45 m²,2,1900,Brick,Fully equipped,Central,"28,35 €/month~ 0,63 €/m²","['2024-10', '0.19', '2024-11', '0.6', '2024-12', '0.82', '2025-01', '0.9', '2025-02', '1.01', '2025-03', '0.67', '2025-04', '0.25', 'august', '37', 'september', '36', 'october', '22', 'november', '10', 'december', '27', 'january', '12', 'february', '18', 'march', '32', 'april', '31', 'may', '52', 'june', '41', 'july', '21', 'august', '18', 'september', '35', 'october', '17', 'november', '17', 'december', '17', 'january', '30', 'february', '18', 'march', '17', 'april', '21', 'may', '25', 'june', '15', 'july', '18']"
"Kaunas, Centras, Kęstučio g., 1 room flat for rent",240 €,"(15,0 €/m²)",16 m²,1,1959,Brick,Fully equipped,Central,"11,36 €/month~ 0,71 €/m²","['2024-10', '0.37', '2024-11', '0.71', '2024-12', '0.87', '2025-01', '0.93', '2025-02', '1.07', '2025-03', '0.73', '2025-04', '0.29', 'august', '45', 'september', '44', 'october', '30', 'november', '11', 'december', '21', 'january', '16', 'february', '18', 'march', '30', 'april', '36', 'may', '47', 'june', '41', 'july', '19', 'august', '24', 'september', '42', 'october', '18', 'november', '22', 'december', '19', 'january', '28', 'february', '21', 'march', '23', 'april', '28', 'may', '23', 'june', '20', 'july', '23']"
"Kaunas, Centras, Kęstučio g., 4 rooms flat for rent",850 €,"(10,9 €/m²)",78 m²,4,1943,Brick,Fully equipped,Gas,"32,76 €/month~ 0,42 €/m²","['2024-10', '0.19', '2024-11', '0.45', '2024-12', '0.59', '2025-01', '0.6', '2025-02', '0.61', '2025-03', '0.38', '2025-04', '0.13', 'august', '51', 'september', '32', 'october', '56', 'november', '14', 'december', '16', 'january', '12', 'february', '11', 'march', '15', 'april', '21', 'may', '22', 'june', '13', 'july', '18', 'august', '15', 'september', '31', 'october', '18', 'november', '30', 'december', '19', 'january', '18', 'february', '10', 'march', '23', 'april', '17', 'may', '22', 'june', '21', 'july', '19']"
"Kaunas, Freda, J. Bakanausko g., 2 rooms flat for rent",650 €,"(12,0 €/m²)",54 m²,2,2023,Brick,Fully equipped,"Electric, gas, solid fuel, sun energy",,"['august', '1', 'september', '0', 'october', '4', 'november', '0', 'december', '2', 'january', '3', 'february', '1', 'march', '0', 'april', '0', 'may', '0', 'june', '0', 'july', '0', 'august', '0', 'september', '1', 'october', '0', 'november', '2', 'december', '0', 'january', '1', 'february', '0', 'march', '0', 'april', '3', 'may', '0', 'june', '0', 'july', '3']"
"Kaunas, Žaliakalnis, Kalniečių g., 1 room flat for rent",280 €,"(9,7 €/m²)",29 m²,1,1986,Brick,Fully equipped,Central,"34,80 €/month~ 1,20 €/m²","['2024-10', '0.45', '2024-11', '1.22', '2024-12', '1.54', '2025-01', '1.59', '2025-02', '1.86', '2025-03', '1.2', '2025-04', '0.51', 'august', '2', 'september', '2', 'october', '2', 'november', '3', 'december', '1', 'january', '2', 'february', '5', 'march', '1', 'april', '4', 'may', '3', 'june', '1', 'july', '6', 'august', '2', 'september', '2', 'october', '7', 'november', '5', 'december', '4', 'january', '12', 'february', '4', 'march', '2', 'april', '5', 'may', '5', 'june', '8', 'july', '3']"
"Kaunas, Centras, Kęstučio g., 3 rooms flat for rent",898 €,"(12,8 €/m²)",70 m²,3,,Brick,Fully equipped,Gas,,"['august', '45', 'september', '39', 'october', '30', 'november', '11', 'december', '20', 'january', '15', 'february', '18', 'march', '30', 'april', '36', 'may', '46', 'june', '40', 'july', '19', 'august', '22', 'september', '42', 'october', '18', 'november', '20', 'december', '19', 'january', '26', 'february', '21', 'march', '23', 'april', '28', 'may', '23', 'june', '20', 'july', '23']"
"Kaunas, Žaliakalnis, Žuvinto g., 2 rooms flat for rent",690 €,"(11,5 €/m²)",60 m²,2,2008,Brick,Fully equipped,Central thermostat,"36,00 €/month~ 0,60 €/m²","['2024-10', '0.16', '2024-11', '0.54', '2024-12', '1.01', '2025-01', '0.95', '2025-02', '1.05', '2025-03', '0.38', '2025-04', '0.14', 'august', '2', 'september', '2', 'october', '7', 'november', '2', 'december', '2', 'january', '2', 'february', '0', 'march', '3', 'april', '6', 'may', '1', 'june', '5', 'july', '5', 'august', '0', 'september', '9', 'october', '2', 'november', '6', 'december', '6', 'january', '0', 'february', '2', 'march', '1', 'april', '1', 'may', '0', 'june', '1', 'july', '1']"
"Kaunas, Žemieji Šančiai, Kranto 7-oji g., 2 rooms flat for rent",650 €,"(17,1 €/m²)",38 m²,2,2022,Monolithic,Fully equipped,Gas,,"['august', '2', 'september', '2', 'october', '8', 'november', '10', 'december', '14', 'january', '10', 'february', '10', 'march', '2', 'april', '5', 'may', '4', 'june', '6', 'july', '2', 'august', '5', 'september', '2', 'october', '4', 'november', '3', 'december', '2', 'january', '3', 'february', '1', 'march', '8', 'april', '3', 'may', '2', 'june', '8', 'july', '7']"
"Kaunas, Žaliakalnis, Molėtų g., 1 room flat for rent",320 €,"(7,0 €/m²)",46 m²,1,,Brick,Fully equipped,Gas,,"['august', '2', 'september', '4', 'october', '2', 'november', '8', 'december', '9', 'january', '9', 'february', '5', 'march', '2', 'april', '0', 'may', '5', 'june', '5', 'july', '4', 'august', '9', 'september', '3', 'october', '5', 'november', '3', 'december', '11', 'january', '12', 'february', '5', 'march', '4', 'april', '3', 'may', '7', 'june', '11', 'july', '4']"
"Kaunas, Senamiestis, M. Daukšos g., 3 rooms flat for rent",360 €,"(6,1 €/m²)","59,22 m²",3,1956,Block house,Fully equipped,"Central, liquid","87,65 €/month~ 1,48 €/m²","['2024-10', '0.64', '2024-11', '1.3', '2024-12', '1.9', '2025-01', '2.04', '2025-02', '2.33', '2025-03', '1.57', '2025-04', '0.6', 'august', '13', 'september', '30', 'october', '12', 'november', '17', 'december', '24', 'january', '16', 'february', '26', 'march', '14', 'april', '13', 'may', '20', 'june', '16', 'july', '21', 'august', '7', 'september', '13', 'october', '22', 'november', '21', 'december', '12', 'january', '18', 'february', '18', 'march', '14', 'april', '13', 'may', '8', 'june', '7', 'july', '14']"
"Kaunas, Dainava, Partizanų g., 1 room flat for rent",300 €,"(9,7 €/m²)",31 m²,1,1968,Block house,Fully equipped,Central,,"['august', '10', 'september', '14', 'october', '19', 'november', '11', 'december', '20', 'january', '12', 'february', '14', 'march', '13', 'april', '19', 'may', '27', 'june', '13', 'july', '12', 'august', '12', 'september', '22', 'october', '34', 'november', '13', 'december', '6', 'january', '3', 'february', '15', 'march', '11', 'april', '5', 'may', '12', 'june', '8', 'july', '12']"
"Kaunas, Žaliakalnis, P. Vileišio g., 2 rooms flat for rent",490 €,"(9,6 €/m²)",51 m²,2,1970,Brick,Fully equipped,Central,"48,45 €/month~ 0,95 €/m²","['2024-10', '0.41', '2024-11', '0.98', '2024-12', '1.29', '2025-01', '1.32', '2025-02', '1.44', '2025-03', '0.89', '2025-04', '0.33', 'august', '9', 'september', '13', 'october', '3', 'november', '15', 'december', '12', 'january', '9', 'february', '11', 'march', '15', 'april', '5', 'may', '9', 'june', '14', 'july', '5', 'august', '9', 'september', '3', 'october', '9', 'november', '7', 'december', '17', 'january', '13', 'february', '9', 'march', '4', 'april', '13', 'may', '7', 'june', '13', 'july', '18']"
"Kaunas, Šilainiai, Šarkuvos g., 1 room flat for rent",450 €,"(11,3 €/m²)",40 m²,1,1988,Block house,Fully equipped,Central,"45,20 €/month~ 1,13 €/m²","['2024-10', '0.47', '2024-11', '0.96', '2024-12', '1.34', '2025-01', '1.42', '2025-02', '1.78', '2025-03', '1.32', '2025-04', '0.62', 'august', '14', 'september', '14', 'october', '11', 'november', '14', 'december', '3', 'january', '12', 'february', '16', 'march', '5', 'april', '16', 'may', '15', 'june', '6', 'july', '8', 'august', '9', 'september', '12', 'october', '19', 'november', '10', 'december', '19', 'january', '13', 'february', '9', 'march', '12', 'april', '4', 'may', '12', 'june', '5', 'july', '8']"
"Kaunas, Kalniečiai, V. Landsbergio-Žemkalnio g., 1 room flat for rent",420 €,"(10,8 €/m²)",39 m²,1,1999,Brick,Fully equipped,Central,"44,85 €/month~ 1,15 €/m²","['2024-10', '0.33', '2024-11', '1.18', '2024-12', '1.55', '2025-01', '1.59', '2025-02', '1.77', '2025-03', '1.17', '2025-04', '0.44', 'august', '6', 'september', '11', 'october', '15', 'november', '21', 'december', '6', 'january', '5', 'february', '7', 'march', '8', 'april', '15', 'may', '9', 'june', '18', 'july', '19', 'august', '24', 'september', '22', 'october', '11', 'november', '8', 'december', '15', 'january', '13', 'february', '11', 'march', '8', 'april', '4', 'may', '9', 'june', '11', 'july', '8']"
"Kaunas, Senamiestis, A. Mackevičiaus g., 2 rooms flat for rent",298 €,"(9,3 €/m²)",32 m²,2,1939,Carcass house,Fully equipped,Gas,,"['august', '7', 'september', '16', 'october', '4', 'november', '8', 'december', '11', 'january', '13', 'february', '22', 'march', '17', 'april', '17', 'may', '40', 'june', '24', 'july', '12', 'august', '10', 'september', '25', 'october', '15', 'november', '18', 'december', '5', 'january', '20', 'february', '6', 'march', '8', 'april', '15', 'may', '18', 'june', '5', 'july', '7']"
"Kaunas, Dainava, V. Krėvės pr., 1 room flat for rent",450 €,"(13,2 €/m²)",34 m²,1,1987,Block house,Fully equipped,Central,"35,70 €/month~ 1,05 €/m²","['2024-10', '0.55', '2024-11', '1.03', '2024-12', '1.34', '2025-01', '1.46', '2025-02', '1.39', '2025-03', '1.06', '2025-04', '0.49', 'august', '17', 'september', '29', 'october', '14', 'november', '17', 'december', '14', 'january', '19', 'february', '19', 'march', '37', 'april', '15', 'may', '37', 'june', '10', 'july', '29', 'august', '22', 'september', '25', 'october', '24', 'november', '26', 'december', '15', 'january', '16', 'february', '13', 'march', '28', 'april', '13', 'may', '8', 'june', '8', 'july', '6']"
"Kaunas, Dainava, Pramonės pr., 1 room flat for rent",330 €,"(18,3 €/m²)",18 m²,1,1970,Block house,Fully equipped,Central,"8,28 €/month~ 0,46 €/m²","['2024-10', '0.15', '2024-11', '0.44', '2024-12', '0.59', '2025-01', '0.62', '2025-02', '0.75', '2025-03', '0.47', '2025-04', '0.2', 'august', '21', 'september', '32', 'october', '19', 'november', '18', 'december', '21', 'january', '24', 'february', '24', 'march', '44', 'april', '17', 'may', '39', 'june', '10', 'july', '33', 'august', '26', 'september', '25', 'october', '26', 'november', '25', 'december', '16', 'january', '21', 'february', '18', 'march', '29', 'april', '21', 'may', '12', 'june', '8', 'july', '6']"
"Kaunas, Žaliakalnis, Kalniečių g., 2 rooms flat for rent",890 €,"(11,9 €/m²)",75 m²,2,,Brick,Fully equipped,"Gas, other",,"['august', '3', 'september', '1', 'october', '2', 'november', '3', 'december', '1', 'january', '1', 'february', '7', 'march', '2', 'april', '7', 'may', '3', 'june', '1', 'july', '4', 'august', '1', 'september', '1', 'october', '2', 'november', '5', 'december', '1', 'january', '12', 'february', '1', 'march', '2', 'april', '5', 'may', '5', 'june', '4', 'july', '3']"
"Kaunas, Dainava, Kovo 11-osios g., 2 rooms flat for rent",530 €,"(12,0 €/m²)",44 m²,2,1980,Block house,Fully equipped,Central,"32,56 €/month~ 0,74 €/m²","['2024-10', '0.27', '2024-11', '0.71', '2024-12', '0.94', '2025-01', '1', '2025-02', '1.15', '2025-03', '0.79', '2025-04', '0.31', 'august', '21', 'september', '22', 'october', '26', 'november', '14', 'december', '17', 'january', '16', 'february', '21', 'march', '10', 'april', '15', 'may', '13', 'june', '16', 'july', '16', 'august', '40', 'september', '29', 'october', '25', 'november', '12', 'december', '17', 'january', '11', 'february', '20', 'march', '15', 'april', '16', 'may', '25', 'june', '20', 'july', '7']"
"Kaunas, Centras, Maironio g., 2 rooms flat for rent",850 €,"(14,2 €/m²)",60 m²,2,1941,Brick,Fully equipped,Central,"94,80 €/month~ 1,58 €/m²","['2024-10', '0.78', '2024-11', '1.49', '2024-12', '1.93', '2025-01', '2.03', '2025-02', '2.24', '2025-03', '1.92', '2025-04', '0.66', 'august', '18', 'september', '30', 'october', '19', 'november', '9', 'december', '13', 'january', '12', 'february', '15', 'march', '17', 'april', '29', 'may', '43', 'june', '39', 'july', '18', 'august', '19', 'september', '34', 'october', '15', 'november', '10', 'december', '15', 'january', '20', 'february', '18', 'march', '13', 'april', '14', 'may', '15', 'june', '10', 'july', '16']"
"Kaunas, Senamiestis, Jonavos g., 3 rooms flat for rent",1 100 €,"(14,9 €/m²)",74 m²,3,,Other,Fully equipped,Gas,,"['august', '18', 'september', '17', 'october', '15', 'november', '10', 'december', '12', 'january', '8', 'february', '15', 'march', '9', 'april', '1', 'may', '16', 'june', '12', 'july', '12', 'august', '4', 'september', '8', 'october', '7', 'november', '3', 'december', '8', 'january', '14', 'february', '6', 'march', '5', 'april', '3', 'may', '11', 'june', '6', 'july', '10']"
"Kaunas, Eiguliai, Šiaurės pr., 3 rooms flat for rent",599 €,"(9,2 €/m²)",65 m²,3,1980,Block house,Fully equipped,Central,"54,60 €/month~ 0,84 €/m²","['2024-10', '0.39', '2024-11', '0.85', '2024-12', '1.1', '2025-01', '1.16', '2025-02', '1.23', '2025-03', '0.82', '2025-04', '0.33', 'august', '29', 'september', '24', 'october', '12', 'november', '26', 'december', '17', 'january', '7', 'february', '10', 'march', '12', 'april', '20', 'may', '21', 'june', '7', 'july', '21', 'august', '19', 'september', '13', 'october', '11', 'november', '12', 'december', '8', 'january', '17', 'february', '11', 'march', '6', 'april', '10', 'may', '17', 'june', '2', 'july', '3']"
"Kaunas, Dainava, Chemijos g., 1 room flat for rent",270 €,"(14,2 €/m²)",19 m²,1,1980,Brick,Fully equipped,Central,"22,23 €/month~ 1,17 €/m²","['2024-10', '0.37', '2024-11', '0.82', '2024-12', '1.61', '2025-01', '1.52', '2025-02', '1.75', '2025-03', '1.53', '2025-04', '0.57', 'august', '30', 'september', '27', 'october', '19', 'november', '13', 'december', '15', 'january', '11', 'february', '14', 'march', '12', 'april', '7', 'may', '15', 'june', '10', 'july', '9', 'august', '31', 'september', '24', 'october', '12', 'november', '6', 'december', '14', 'january', '5', 'february', '19', 'march', '10', 'april', '13', 'may', '24', 'june', '19', 'july', '5']"
"Kaunas, Centras, Miško g., 2 rooms flat for rent",630 €,"(15,0 €/m²)",42 m²,2,,Brick,Fully equipped,Central thermostat,"27,72 €/month~ 0,66 €/m²","['2024-10', '0.28', '2024-11', '0.62', '2024-12', '0.84', '2025-01', '0.88', '2025-02', '1.14', '2025-03', '0.64', '2025-04', '0.19', 'august', '59', 'september', '34', 'october', '77', 'november', '30', 'december', '31', 'january', '28', 'february', '26', 'march', '30', 'april', '47', 'may', '29', 'june', '38', 'july', '23', 'august', '16', 'september', '40', 'october', '32', 'november', '37', 'december', '36', 'january', '22', 'february', '29', 'march', '30', 'april', '32', 'may', '32', 'june', '23', 'july', '31']"
"Kaunas, Centras, Gedimino g., 2 rooms flat for rent",1 200 €,"(12,5 €/m²)","96,34 m²",2,2017,Brick,Fully equipped,Central thermostat,,"['august', '16', 'september', '30', 'october', '15', 'november', '7', 'december', '16', 'january', '5', 'february', '14', 'march', '6', 'april', '14', 'may', '16', 'june', '10', 'july', '16', 'august', '11', 'september', '17', 'october', '7', 'november', '28', 'december', '15', 'january', '16', 'february', '9', 'march', '18', 'april', '15', 'may', '10', 'june', '16', 'july', '17']"
"Kaunas, Dainava, V. Krėvės pr., 2 rooms flat for rent",380 €,"(8,1 €/m²)","47,16 m²",2,1974,Block house,Partially equipped,Central,"41,50 €/month~ 0,88 €/m²","['2024-10', '0.27', '2024-11', '0.94', '2024-12', '1.14', '2025-01', '1.17', '2025-02', '1.35', '2025-03', '0.93', '2025-04', '0.38', 'august', '6', 'september', '9', 'october', '12', 'november', '10', 'december', '17', 'january', '18', 'february', '3', 'march', '5', 'april', '8', 'may', '6', 'june', '17', 'july', '7', 'august', '8', 'september', '22', 'october', '25', 'november', '14', 'december', '3', 'january', '5', 'february', '7', 'march', '1', 'april', '4', 'may', '10', 'june', '7', 'july', '5']"
"Kaunas, Centras, L. Sapiegos g., 2 rooms flat for rent",580 €,"(10,5 €/m²)",55 m²,2,1949,Brick,Fully equipped,Central,"79,20 €/month~ 1,44 €/m²","['2024-10', '0.61', '2024-11', '1.31', '2024-12', '1.78', '2025-01', '2.01', '2025-02', '2.16', '2025-03', '1.6', '2025-04', '0.63', 'august', '14', 'september', '26', 'october', '15', 'november', '8', 'december', '19', 'january', '10', 'february', '14', 'march', '27', 'april', '28', 'may', '47', 'june', '41', 'july', '21', 'august', '17', 'september', '32', 'october', '15', 'november', '17', 'december', '12', 'january', '28', 'february', '16', 'march', '14', 'april', '21', 'may', '25', 'june', '11', 'july', '15']"
"Kaunas, Žaliakalnis, V. Krėvės pr., 1 room flat for rent",430 €,"(13,9 €/m²)",31 m²,1,1970,Block house,Fully equipped,Central,"26,97 €/month~ 0,87 €/m²","['2024-10', '0.36', '2024-11', '0.9', '2024-12', '1.15', '2025-01', '1.18', '2025-02', '1.29', '2025-03', '0.87', '2025-04', '0.37', 'august', '5', 'september', '10', 'october', '8', 'november', '10', 'december', '11', 'january', '24', 'february', '8', 'march', '7', 'april', '12', 'may', '6', 'june', '14', 'july', '8', 'august', '10', 'september', '11', 'october', '5', 'november', '13', 'december', '8', 'january', '9', 'february', '8', 'march', '7', 'april', '3', 'may', '10', 'june', '5', 'july', '4']"
"Kaunas, Aleksotas, H. ir O. Minkovskių g., 3 rooms flat for rent",800 €,"(16,0 €/m²)",50 m²,3,2023,Monolithic,Fully equipped,Central,"21,00 €/month~ 0,42 €/m²","['2024-10', '0.1', '2024-11', '0.34', '2024-12', '0.68', '2025-01', '0.69', '2025-02', '0.71', '2025-03', '0.32', '2025-04', '0.07', 'august', '1', 'september', '0', 'october', '2', 'november', '0', 'december', '1', 'january', '0', 'february', '1', 'march', '3', 'april', '0', 'may', '0', 'june', '0', 'july', '5', 'august', '0', 'september', '0', 'october', '5', 'november', '0', 'december', '1', 'january', '1', 'february', '0', 'march', '0', 'april', '1', 'may', '1', 'june', '1', 'july', '3']"
"Kaunas, Šilainiai, Baltijos g., 3 rooms flat for rent",600 €,"(8,1 €/m²)",74 m²,3,1990,Block house,Fully equipped,Central,"75,48 €/month~ 1,02 €/m²","['2024-10', '0.39', '2024-11', '1.01', '2024-12', '1.34', '2025-01', '1.37', '2025-02', '1.53', '2025-03', '1.08', '2025-04', '0.41', 'august', '10', 'september', '15', 'october', '11', 'november', '11', 'december', '8', 'january', '16', 'february', '6', 'march', '6', 'april', '9', 'may', '12', 'june', '12', 'july', '15', 'august', '8', 'september', '15', 'october', '12', 'november', '9', 'december', '10', 'january', '11', 'february', '10', 'march', '2', 'april', '9', 'may', '14', 'june', '10', 'july', '5']"
"Kaunas, Žaliakalnis, Vydūno al., 2 rooms flat for rent",450 €,"(11,3 €/m²)",40 m²,2,2008,Brick,Fully equipped,Gas,,"['august', '3', 'september', '1', 'october', '3', 'november', '0', 'december', '4', 'january', '1', 'february', '2', 'march', '1', 'april', '2', 'may', '2', 'june', '1', 'july', '3', 'august', '3', 'september', '1', 'october', '3', 'november', '0', 'december', '1', 'january', '0', 'february', '2', 'march', '0', 'april', '3', 'may', '3', 'june', '0', 'july', '0']"
"Kaunas, Šilainiai, Šarkuvos g., 2 rooms flat for rent",500 €,"(12,8 €/m²)",39 m²,2,1988,Brick,Fully equipped,Central thermostat,,"['august', '12', 'september', '21', 'october', '18', 'november', '13', 'december', '6', 'january', '23', 'february', '23', 'march', '6', 'april', '19', 'may', '11', 'june', '7', 'july', '4', 'august', '8', 'september', '8', 'october', '18', 'november', '6', 'december', '15', 'january', '10', 'february', '5', 'march', '14', 'april', '5', 'may', '11', 'june', '4', 'july', '8']"
"Kaunas, Centras, Spaustuvininkų g., 2 rooms flat for rent",619 €,"(15,1 €/m²)",41 m²,2,,Brick,Fully equipped,Central thermostat,"36,08 €/month~ 0,88 €/m²","['2024-10', '0.31', '2024-11', '0.91', '2024-12', '1.35', '2025-01', '1.15', '2025-02', '1.26', '2025-03', '0.96', '2025-04', '0.25', 'august', '56', 'september', '42', 'october', '64', 'november', '16', 'december', '19', 'january', '17', 'february', '13', 'march', '21', 'april', '32', 'may', '22', 'june', '24', 'july', '19', 'august', '19', 'september', '40', 'october', '22', 'november', '27', 'december', '19', 'january', '19', 'february', '19', 'march', '22', 'april', '18', 'may', '18', 'june', '18', 'july', '18']"
"Kaunas, Aukštieji Šančiai, Vievio g., Room rent",170 €,"(12,1 €/m²)",14 m²,1,1984,Log house,Fully equipped,Gas,,"['august', '6', 'september', '8', 'october', '7', 'november', '13', 'december', '10', 'january', '8', 'february', '13', 'march', '8', 'april', '12', 'may', '8', 'june', '18', 'july', '19', 'august', '10', 'september', '4', 'october', '6', 'november', '6', 'december', '10', 'january', '16', 'february', '5', 'march', '6', 'april', '7', 'may', '14', 'june', '4', 'july', '7']"
"Kaunas, Dainava, Draugystės g., 2 rooms flat for rent",490 €,"(9,8 €/m²)",50 m²,2,1985,Brick,Fully equipped,Central,"61,00 €/month~ 1,22 €/m²","['2024-10', '0.61', '2024-11', '1.21', '2024-12', '1.45', '2025-01', '1.54', '2025-02', '1.71', '2025-03', '1.39', '2025-04', '0.61', 'august', '19', 'september', '21', 'october', '11', 'november', '11', 'december', '19', 'january', '9', 'february', '17', 'march', '16', 'april', '17', 'may', '14', 'june', '14', 'july', '8', 'august', '10', 'september', '22', 'october', '14', 'november', '15', 'december', '23', 'january', '9', 'february', '20', 'march', '8', 'april', '17', 'may', '7', 'june', '11', 'july', '8']"
"Kaunas, Šilainiai, Žemalės g., 1 room flat for rent",350 €,"(12,1 €/m²)",29 m²,1,1997,Brick,Fully equipped,Electric,,"['august', '5', 'september', '4', 'october', '2', 'november', '5', 'december', '1', 'january', '0', 'february', '0', 'march', '2', 'april', '0', 'may', '4', 'june', '3', 'july', '3', 'august', '0', 'september', '2', 'october', '3', 'november', '6', 'december', '4', 'january', '6', 'february', '4', 'march', '4', 'april', '4', 'may', '0', 'june', '5', 'july', '1']"
"Kaunas, Dainava, Kovo 11-osios g., 2 rooms flat for rent",490 €,"(10,9 €/m²)",45 m²,2,1978,Block house,Fully equipped,Central,"45,90 €/month~ 1,02 €/m²","['2024-10', '0.42', '2024-11', '1.06', '2024-12', '1.35', '2025-01', '1.4', '2025-02', '1.51', '2025-03', '0.98', '2025-04', '0.42', 'august', '11', 'september', '17', 'october', '10', 'november', '10', 'december', '19', 'january', '3', 'february', '16', 'march', '12', 'april', '2', 'may', '13', 'june', '17', 'july', '10', 'august', '10', 'september', '17', 'october', '15', 'november', '16', 'december', '8', 'january', '17', 'february', '12', 'march', '8', 'april', '7', 'may', '6', 'june', '7', 'july', '5']"
"Kaunas, Aukštieji Šančiai, A. Juozapavičiaus pr., 2 rooms flat for rent",1 000 €,"(15,9 €/m²)",63 m²,2,2023,Block house,Fully equipped,Central thermostat,"39,69 €/month~ 0,63 €/m²","['2024-10', '0.28', '2024-11', '0.67', '2024-12', '0.88', '2025-01', '0.98', '2025-02', '0.93', '2025-03', '0.5', '2025-04', '0.15', 'august', '2', 'september', '6', 'october', '1', 'november', '3', 'december', '2', 'january', '7', 'february', '3', 'march', '1', 'april', '5', 'may', '3', 'june', '2', 'july', '2', 'august', '0', 'september', '5', 'october', '3', 'november', '3', 'december', '2', 'january', '4', 'february', '0', 'march', '2', 'april', '0', 'may', '1', 'june', '0', 'july', '2']"
"Kaunas, Senamiestis, A. Mackevičiaus g., 2 rooms flat for rent",450 €,"(15,0 €/m²)",30 m²,2,1916,Log house,Fully equipped,Gas,,"['august', '16', 'september', '25', 'october', '7', 'november', '14', 'december', '19', 'january', '14', 'february', '27', 'march', '24', 'april', '11', 'may', '27', 'june', '11', 'july', '18', 'august', '4', 'september', '11', 'october', '19', 'november', '18', 'december', '10', 'january', '28', 'february', '14', 'march', '7', 'april', '19', 'may', '21', 'june', '6', 'july', '17']"
"Kaunas, Centras, I. Kanto g., 2 rooms flat for rent",3 000 €,"(33,0 €/m²)",91 m²,2,2008,Monolithic,Fully equipped,"Electric, central thermostat, aerothermal, sun energy","56,42 €/month~ 0,62 €/m²","['2024-10', '0.17', '2024-11', '0.56', '2024-12', '0.91', '2025-01', '0.95', '2025-02', '1.04', '2025-03', '0.52', '2025-04', '0.21', 'august', '10', 'september', '26', 'october', '15', 'november', '9', 'december', '20', 'january', '10', 'february', '13', 'march', '25', 'april', '30', 'may', '46', 'june', '40', 'july', '21', 'august', '15', 'september', '29', 'october', '15', 'november', '18', 'december', '9', 'january', '24', 'february', '16', 'march', '10', 'april', '19', 'may', '25', 'june', '12', 'july', '16']"
"Kaunas, Kalniečiai, S. Žukausko g., 3 rooms flat for rent",700 €,"(10,0 €/m²)",70 m²,3,2018,Brick,Fully equipped,Central thermostat,"30,10 €/month~ 0,43 €/m²","['2024-10', '0.14', '2024-11', '0.45', '2024-12', '0.61', '2025-01', '0.62', '2025-02', '0.71', '2025-03', '0.37', '2025-04', '0.14', 'august', '10', 'september', '10', 'october', '10', 'november', '8', 'december', '7', 'january', '10', 'february', '11', 'march', '13', 'april', '13', 'may', '24', 'june', '4', 'july', '12', 'august', '9', 'september', '6', 'october', '11', 'november', '4', 'december', '5', 'january', '3', 'february', '12', 'march', '11', 'april', '3', 'may', '4', 'june', '5', 'july', '6']"
"Kaunas, Aukštieji Šančiai, Pabiržės g., 2 rooms flat for rent",650 €,"(14,1 €/m²)",46 m²,2,2025,Brick,Fully equipped,Central thermostat,,"['august', '5', 'september', '0', 'october', '3', 'november', '1', 'december', '2', 'january', '2', 'february', '0', 'march', '0', 'april', '1', 'may', '2', 'june', '4', 'july', '2', 'august', '1', 'september', '0', 'october', '1', 'november', '2', 'december', '3', 'january', '8', 'february', '4', 'march', '1', 'april', '2', 'may', '4', 'june', '1', 'july', '1']"
