names,total_price,price_per_meter,area,rooms_number,build_year,building_type,equipment,heating_system,avg_heating_price,Avg,Average_crimes,District
"K. Donelaičio g., 3 rooms flat for rent",1150.0,10.7,107.0,3,1934.0,Brick,Fully equipped,Central,142.31,23,26.3, Centras
"Laisvės al., 1 room flat for rent",530.0,15.1,35.0,1,2006.0,Brick,Fully equipped,Electric,nan,23,29.3, Centras
"J. Tonkūno g., 2 rooms flat for rent",750.0,16.0,47.0,2,2024.0,Block house,Fully equipped,Central thermostat,5357.53,23,18.0, Dainava
"Chemijos g., 1 room flat for rent",270.0,14.2,19.0,1,1980.0,Brick,Fully equipped,Central,22.23,23,15.6, Dainava
"Aušros g., 2 rooms flat for rent",690.0,11.3,61.0,2,2005.0,Brick,Fully equipped,Central thermostat,43.31,23,11.0, Žaliakalnis
"Kauko al., 3 rooms flat for rent",800.0,12.3,65.0,3,,Log house,Fully equipped,"Central thermostat, gas",nan,23,20.3, Žaliakalnis
"Radvilėnų pl., 2 rooms flat for rent",890.0,22.3,40.0,2,2020.0,Brick,Fully equipped,"Electric, liquid",14.40,23,11.7, Žaliakalnis
"Varnių g., 2 rooms flat for rent",600.0,11.1,54.0,2,2007.0,Brick,Fully equipped,Gas,nan,23,16.6, Vilijampolė
"Žemaičių g., 2 rooms flat for rent",670.0,19.7,34.0,2,,Brick,Fully equipped,Central thermostat,13.94,23,10.7, Žaliakalnis
"Įkalnės aklg., 1 room flat for rent",570.0,16.8,34.0,1,2020.0,Brick,Fully equipped,Gas,nan,23,1.8, Žemutiniai Kaniūkai
"M. Riomerio g., 1 room flat for rent",390.0,13.0,30.0,1,1975.0,Brick,Fully equipped,Central,22.80,23,12.8, Gričiupis
"R. Kalantos g., 1 room flat for rent",300.0,9.4,32.0,1,1970.0,Brick,Fully equipped,Central,nan,23,1.7, Petrašiūnai
"Savanorių pr., 4 rooms flat for rent",480.0,5.0,96.0,4,1976.0,Brick,Partially equipped,Central,nan,23,13.3, Žaliakalnis
"Žemaičių g., 1 room flat for rent",400.0,16.0,25.0,1,1956.0,Brick,Fully equipped,Electric,nan,23,10.4, Centras
"Partizanų g., 1 room flat for rent",450.0,12.5,36.0,1,1980.0,Block house,Fully equipped,Central,nan,23,15.1, Dainava
"Kranto al., 2 rooms flat for rent",450.0,9.0,50.0,2,2000.0,Brick,Fully equipped,Central,nan,23,3.7, Žemieji Šančiai
"Laisvės al., 2 rooms flat for rent",520.0,23.6,22.0,2,,Brick,Fully equipped,Central,16.50,23,30.3, Centras
"Ukmergės g., 2 rooms flat for rent",490.0,13.6,36.0,2,1993.0,Block house,Fully equipped,Central,37.08,23,14.3, Eiguliai
"P. Lukšio g., 2 rooms flat for rent",450.0,9.2,49.0,2,,Brick,Fully equipped,Central,15.68,23,10.0, Eiguliai
"P. Dovydaičio g., 2 rooms flat for rent",450.0,10.0,45.0,2,1930.0,Log house,Fully equipped,Gas,nan,23,7.8, Žaliakalnis
"V. Krėvės pr., 1 room flat for rent",360.0,10.9,33.0,1,1978.0,Block house,Fully equipped,Central,nan,23,17.3, Dainava
"M. Daukšos g., 1 room flat for rent",400.0,8.0,50.0,1,1980.0,Brick,Fully equipped,Gas,nan,23,17.1, Senamiestis
"Bajorų g., 3 rooms flat for rent",750.0,13.6,55.19,3,,Block house,Fully equipped,Central,30.91,23,13.0, Vilijampolė
"Vytauto pr., 2 rooms flat for rent",700.0,15.6,45.0,2,2010.0,Brick,Fully equipped,Central thermostat,20.70,23,33.8, Centras
"S. Žukausko g., 3 rooms flat for rent",630.0,10.2,62.0,3,1979.0,Block house,Fully equipped,Central,74.40,23,19.8, Eiguliai
"S. Žukausko g., 2 rooms flat for rent",450.0,9.0,50.0,2,1975.0,Block house,Fully equipped,Central,45.00,23,14.9, Kalniečiai
"Kuršių g., 2 rooms flat for rent",360.0,7.1,51.0,2,1986.0,Block house,Fully equipped,Central,49.98,23,9.4, Šilainiai
"Taikos pr., 1 room flat for rent",390.0,11.1,35.0,1,1998.0,Brick,Fully equipped,Central thermostat,22.75,23,10.0, Dainava
"Rambyno g., 1 room flat for rent",380.0,20.0,19.0,1,,Brick,Fully equipped,Aerothermal,nan,23,6.7, Aukštieji Šančiai
"Radvilėnų pl., 2 rooms flat for rent",600.0,15.4,39.0,2,,Brick,Fully equipped,Aerothermal,nan,23,6.9, Žaliakalnis
"A. Mickevičiaus g., 1 room flat for rent",450.0,21.4,21.0,1,1920.0,Brick,Fully equipped,"Central, solid fuel",31.29,23,20.3, Centras
"Prancūzų g., 2 rooms flat for rent",500.0,10.0,50.0,2,1985.0,Brick,Fully equipped,Central,nan,23,4.6, Aukštieji Šančiai
"A. Juozapavičiaus pr., 2 rooms flat for rent",450.0,10.5,43.0,2,1956.0,Brick,Fully equipped,Central thermostat,31.82,23,6.7, Žemieji Šančiai
"Žeimenos g., 2 rooms flat for rent",450.0,9.2,49.0,2,1983.0,Block house,Fully equipped,Central,58.31,23,4.5, Eiguliai
"Raguvos g., 2 rooms flat for rent",650.0,15.9,41.0,2,1920.0,Brick,Fully equipped,Gas,nan,23,12.9, Senamiestis
"Sukilėlių pr., 2 rooms flat for rent",550.0,11.0,50.0,2,1980.0,Block house,Fully equipped,Central,50.00,23,14.2, Eiguliai
